Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta,Volatility_1d,Volatility_7d,Log_TVL,APY_Risk,Cluster,APY_Rank,TVL_Rank,Risk_Score,Vol_Rank,Risk_Category,ML_Risk_Score,ML_Risk_Category
ERSETH-4,Euler V2,Ethereum,20495865,Yield Bearing (Kelp),3.02,0.03607,0.03607,0.7409,0.00022,0.00274,Down,1.0,Lending,,3.79414,3.79414,0.04468,,,,0.03607,0.03607,,,,,,,,0.00022,0.00274,16.835733765236235,0.0021424667616495702,0,0.13333333333333333,0.7111111111111111,32.044444444444444,0.14444444444444443,Low Risk,5.870780683306248,Low Risk
EWBTC-3,Euler V2,Ethereum,11823704,,,0.35164,0.35164,0.7409,-0.02499,-0.36535,Stable/Up,1.0,Lending,,3.79414,3.79414,1.31105,,,,0.35164,0.35164,,,,,,,,0.02499,0.36535,16.28561697260313,0.021592058845025942,0,0.23333333333333334,0.8666666666666667,51.6,0.6333333333333333,Medium Risk,52.575247705729694,Medium Risk
EUSDC-2,Euler V2,Ethereum,11407622,,,2.34354,2.34354,0.7409,-0.0368,-0.96277,Stable/Up,3.0,Lending,,3.79414,3.79414,3.13176,,,,2.34354,2.34354,,,,,,,,0.0368,0.96277,16.249792374105578,0.14421968884565475,0,0.4,0.8777777777777778,65.73333333333333,0.9222222222222223,Medium Risk,61.13701063668337,Medium Risk
EWEETH-6,Euler V2,Ethereum,10692739,Yield Bearing (EthFi),2.87235,0.22079,0.22079,0.7409,0.00071,0.21081,Down,2.0,Lending,,3.79414,3.79414,0.03808,,,,0.22079,0.22079,,,,,,,,0.00071,0.21081,16.18507556447077,0.013641579807305617,0,0.18888888888888888,0.9,48.977777777777774,0.5555555555555556,Medium Risk,45.32793764496804,Medium Risk
EEUSDE-1,Euler V2,Ethereum,9917256,Yield Bearing (Ethena),4.88327,1.90688,1.90688,0.7409,0.03745,0.0132,Unknown,2.0,Lending,,3.79414,3.79414,1.75845,,,,1.90688,1.90688,,,,,,,,0.03745,0.0132,16.10978692892776,0.11836779768799328,0,0.34444444444444444,0.9111111111111111,49.57777777777778,0.19444444444444445,Medium Risk,30.322742625736353,Low Risk
EUSDC-22,Euler V2,Ethereum,9793456,,,4.19892,4.19892,0.7409,-0.00367,0.21542,Stable/Up,3.0,Lending,,3.79414,3.79414,4.89878,,,,4.19892,4.19892,,,,,,,,0.00367,0.21542,16.097225067600018,0.26084744310691493,0,0.6666666666666666,0.9333333333333333,73.2,0.5666666666666667,High Risk,82.85851293181734,High Risk
USDC,Fluid Lending,Ethereum,176657399,,,5.24,2.31,2.93,0.06,-0.15,Stable/Up,3.0,Lending,,3.79414,3.79414,5.62753,,,,5.24,2.31,,,,,,,,0.06,0.15,18.989722821636445,0.27593873008139264,1,0.7888888888888889,0.2666666666666667,54.955555555555556,0.42777777777777776,Medium Risk,60.04050288013304,Medium Risk
USDT,Fluid Lending,Ethereum,151179235,,,7.02,3.61,3.41,0.52,1.77,Stable/Up,3.0,Lending,,3.79414,3.79414,5.88102,,,,7.02,3.61,,,,,,,,0.52,1.77,18.83397668423702,0.3727306302696735,2,0.9555555555555556,0.28888888888888886,74.66666666666667,0.9777777777777777,High Risk,84.92446223023181,High Risk
WSTETH,Fluid Lending,Ethereum,85536047,Yield Bearing (Lido),2.886,0.24,0.24,0.7409,0.05,0.12,Stable/Up,2.0,Lending,,3.79414,3.79414,0.18771,,,,1.683,1.683,-2.6,0.0,-2.6,85536047.0,75915643.0,9620404.0,,0.05,0.12,18.264448459087852,0.013140281817849422,0,0.20555555555555555,0.4111111111111111,30.911111111111115,0.39444444444444443,Low Risk,23.607059809784385,Low Risk
ETH,Fluid Lending,Ethereum,44865055,,,1.82,1.82,0.7409,-0.24,-0.27,Stable/Up,1.0,Lending,,3.79414,3.79414,1.9968,,,,1.82,1.82,-4.26,0.0,-4.26,44865055.0,26747061.0,18117994.0,,0.24,0.27,17.61916978690253,0.10329658105417226,1,0.32222222222222224,0.5333333333333333,44.08888888888889,0.5777777777777777,Medium Risk,48.72280752706476,Medium Risk
WBTC,Fluid Lending,Ethereum,19028733,,,1.69,1.69,0.7409,-0.12,0.57,Stable/Up,3.0,Lending,,3.79414,3.79414,1.01382,,,,1.69,1.69,-4.26,0.0,-4.26,19028733.0,10745588.0,8283145.0,,0.12,0.57,16.761460710522297,0.10082653470285398,0,0.29444444444444445,0.7222222222222222,52.91111111111112,0.7833333333333333,Medium Risk,56.86897176729282,Medium Risk
WBTC,Fluid Lending,Ethereum,18135757,,,1.69,1.69,0.7409,-0.12,0.57,Stable/Up,3.0,Lending,,3.79414,3.79414,1.01382,,,,1.69,1.69,-5.32,0.0,-5.32,18135757.0,10020140.0,8115617.0,,0.12,0.57,16.713396127454537,0.10111649284874505,0,0.29444444444444445,0.7777777777777778,54.68888888888889,0.7833333333333333,Medium Risk,56.86897176729282,Medium Risk
WSTETH,Fluid Lending,Ethereum,9164193,Yield Bearing (Lido),2.886,0.24,0.24,0.7409,0.05,0.12,Stable/Up,2.0,Lending,,3.79414,3.79414,0.18759,,,,3.126,3.126,,,,,,,,0.05,0.12,16.030814492126296,0.014971166943381357,0,0.20555555555555555,0.9555555555555556,48.333333333333336,0.39444444444444443,Medium Risk,38.33751685657895,Medium Risk
WSTETH,Gearbox,Ethereum,18987606,Yield Bearing (Lido),2.886,0.02972,0.02972,0.7409,0.01115,0.0132,Down,2.0,Lending,,3.79414,3.79414,0.01393,,,,2.91572,2.91572,-0.10865,0.0,-0.10865,27288450.0,8300844.0,18987606.0,,0.01115,0.0132,16.75929706115666,0.001773344066373918,0,0.12222222222222222,0.7333333333333334,33.22222222222223,0.19444444444444445,Low Risk,9.098079798549573,Low Risk
USDC,Goldfinch,Ethereum,42700719,,,9.55101,9.55101,0.7409,0.0,-3e-05,Stable/Up,1.0,RWA Lending,,3.79414,3.79414,9.54833,,,,9.55101,9.55101,,,,,,,,0.0,3e-05,17.569726339883392,0.5436060764543126,2,0.9888888888888889,0.5555555555555556,66.80000000000001,0.07777777777777778,High Risk,66.85071148888544,High Risk
RSETH,Kelp,Ethereum,931455152,,,3.02,2.34354,0.7409,-0.01,0.15,Stable/Up,2.0,Liquid Restaking,,3.79414,3.79414,2.96017,,,,3.02,0.0,,,,,,,,0.01,0.15,20.652258601919378,0.14623097929440645,1,0.5111111111111111,0.0888888888888889,35.93333333333334,0.42777777777777776,Medium Risk,34.70248590809791,Medium Risk
STETH,Lido,Ethereum,15007741377,,,2.886,2.886,0.7409,-0.275,0.104,Stable/Up,2.0,Liquid Staking,,3.79414,3.79414,2.99207,,,,2.886,2.886,,,,,,,,0.275,0.104,23.431831996785682,0.12316578577363879,1,0.4777777777777778,0.0,29.822222222222226,0.34444444444444444,Low Risk,25.646759956076075,Low Risk
LSETH,Liquid Collective,Ethereum,184493384,,,6.64522,6.64522,0.7409,0.00143,3.62986,Down,3.0,Liquid Staking,,6.64522,6.64522,3.44028,,,,6.64522,6.64522,,,,,,,,0.00143,3.62986,19.033124167143562,0.3491397387861047,2,0.9444444444444444,0.25555555555555554,73.28888888888889,0.9888888888888889,High Risk,83.36375895853133,High Risk
METH,mETH Protocol,Ethereum,623519437,,,3.63522,3.63522,0.7409,-2.04458,0.18744,Stable/Up,1.0,Liquid Staking,,4.82739,4.82739,3.58108,,,,3.63522,3.63522,,,,,,,,2.04458,0.18744,20.250890498219906,0.17950914308284582,1,0.6111111111111112,0.1333333333333333,44.04444444444445,0.5222222222222223,Medium Risk,47.17617309229292,Medium Risk
SPDAI,Morpho Blue,Ethereum,325083630,,,6.36669,5.57574,0.79095,-0.0659,0.03836,Stable/Up,1.0,Lending,,3.79414,3.79414,6.68965,,,,6.36669,5.57574,,,,,,,,0.0659,0.03836,19.599593033345162,0.3248378672540919,1,0.9222222222222223,0.18888888888888888,55.866666666666674,0.2777777777777778,Medium Risk,60.743508930266714,Medium Risk
