Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
LINK-USDC,GMX V2 Perps,Arbitrum,8106867,20.03411,20.03411,,0.04344,5.00055,Stable/Up,2,Derivatives,,,,16.74135,,,,20.03411,20.03411,,,,,,,
WETH,AAVE V2,Polygon,8103618,0.00001,0.00001,,0,0,,,Lending,,,,0.00001,,,,0.00001,0.00001,-1.88726,,-1.88726,8765317,661699,8103618,
CAKE-WBNB,PancakeSwap AMM,BSC,8097309,3.42958,3.42958,,0,0,Stable/Up,3,Dexs,,,,3.42958,,,,3.42958,3.42958,,,,,,,
SUSDE(BERACONCRETE),Pendle,Ethereum,8096607,16.29226,16.29226,,0.33211,1.08862,Down,2,Yield,,,,14.56742,,,,16.29226,16.29226,,,,,,,For buying PT-sUSDe (Bera Concrete)-10APR2025
SUSDE(BERACONCRETE),Pendle,Ethereum,8096607,6.71168,6.64356,0.06813,-0.52875,-2.3489,Stable/Up,3,Yield,,,,6.69508,,,,6.71168,6.64356,,,,,,,For LP | Maturity 10APR2025
OSETH-RETH,Curve DEX,Ethereum,8040850,3.37,3.37,,-1.37,0.56,Stable/Up,1,Dexs,,,,3.71534,,,,3.37,3.37,,,,,,,
FRXUSD-FXB20291231,Curve DEX,Fraxtal,8032797,14.64863,2.31,12.33863,-0.08304,-1.41979,Down,1,Dexs,,,,18.75658,,,,14.64863,2.31,,,,,,,
EUSD-USDC,Curve DEX,Ethereum,7937410,5.88445,0.84,5.04445,-0.0463,0.15244,Stable/Up,3,Dexs,,,,7.06368,,,,5.88445,0.84,,,,,,,
WSOL-MSOL,Raydium AMM,Solana,7920047,1.75603,1.65,0.10603,-2.66818,-0.79007,Stable/Up,3,Dexs,,2.7,2.7,4.23955,3578065.26555,71267507.22875,,1.75603,1.65,,,,,,,Concentrated - 0.01%
TSTON,EVAA Protocol,Ton,7915164,0.01577,0.01577,,0,-0.00315,Stable/Up,3,Lending,,,,0.01827,,,,0.01577,0.01577,-1.53802,,-1.53802,8045178,130014,7915164,Main
TON-USD₮,STON.fi,Ton,7898375,19.79956,14.49256,5.307,-12.80098,6.38471,Down,2,Dexs,,,,18.25611,,,,19.79956,14.49256,,,,,,,
USDC-SEI,Uniswap V3,Ethereum,7848998,88.65402,88.65402,,-9.36707,43.62401,Down,3,Dexs,,51.37454,51.37454,61.72711,6354750.67803,36135249.16764,,88.65402,88.65402,,,,,,,0.3%
MAGICGLP,Abracadabra Spell,Arbitrum,7836296,24.86882,24.86882,,17.14416,16.30336,Down,3,CDP,,,,12.00759,,,,24.86882,24.86882,,,,,,,
SLVLUSD,Spectra V2,Ethereum,7824024,44.42674,44.42674,,-20.4433,16.76135,Down,3,Yield,,,,25.17208,,,,44.42674,44.42674,,,,,,,For PT on Level  | Maturity Sun Apr 13 2025
SLVLUSD,Spectra V2,Ethereum,7824024,18.95343,18.70548,0.24795,-6.36121,6.35276,Down,2,Yield,,,,13.29979,,,,18.95343,18.70548,,,,,,,For LP on Level | Maturity Sun Apr 13 2025
SOL-MSOL,Kamino Liquidity,Solana,7819515,1.22698,1.22698,,-1.68663,-0.12141,Stable/Up,2,Liquidity manager,,3.45891,3.45891,1.97985,2749494.27992,55406622.43439,,6.058025,6.058025,,,,,,,
WETH-FLOKI,Uniswap V2,Ethereum,7803811,2.21914,2.21914,,0.07635,0.89183,Stable/Up,3,Dexs,,2.66748,2.66748,2.62715,158152.8486,1334389.28951,,2.21914,2.21914,,,,,,,
WETH-PXETH,Convex Finance,Ethereum,7798392,9.27307,0.65,8.62307,0.29855,0.21789,Stable/Up,3,Yield,,,,7.7009,,,,9.27307,0.65,,,,,,,
WETH-WELL,Aerodrome V1,Base,7775147,26.01621,,26.01621,-0.38177,-14.46787,Stable/Up,2,Dexs,,,,34.26068,,,,26.01621,0,,,,,,,
ELON-WETH,Uniswap V2,Ethereum,7692739,3.47542,3.47542,,0.54134,-0.42033,Stable/Up,2,Dexs,,3.30872,3.30872,4.20289,244159.87805,1631612.53465,,3.47542,3.47542,,,,,,,
AAVEPYUSD-LIDOGHO,Balancer V3,Ethereum,7688292,1.35446,1.35446,,-0.60867,-0.39783,Stable/Up,3,Dexs,,,,2.23556,,,,1.35446,1.35446,,,,,,,
USDT-RUNE,Thorchain,Ethereum,7679399,22.98108,,,-0.12981,-6.82595,Stable/Up,2,Dexs,,,,40.654,,,,22.98108,0,,,,,,,
MEUSD,Morpho Blue,Base,7635412,8.29033,0.64629,7.64404,-0.64124,-0.47811,Down,2,Lending,,,,8.99669,,,,8.29033,0.64629,,,,,,,
DEUSD-SDEUSD,Balancer V2,Ethereum,7631595,0.3124,0.3124,,-0.60355,-0.26628,Stable/Up,1,Dexs,,,,0.25304,,,,0.3124,0.3124,,,,,,,
